,meas0,meas1,meas2,meas3,meas4,meas5,meas6,meas7,meas8
275,1248.0,1328.0,1168.0,1168.0,1328.0,1088.0,1088.0,1168.0,1168.0
276,1248.0,1328.0,1168.0,1248.0,1328.0,1248.0,1008.0,1248.0,1248.0
277,1248.0,1248.0,1168.0,1088.0,1328.0,1168.0,912.0,1248.0,1088.0
278,1168.0,1328.0,1008.0,1248.0,1248.0,1168.0,1008.0,1328.0,1088.0
279,1168.0,1328.0,1168.0,1168.0,1408.0,1248.0,1168.0,1248.0,1088.0
280,1008.0,1408.0,1168.0,1008.0,1408.0,1248.0,1008.0,1248.0,1168.0
281,1088.0,1408.0,1088.0,912.0,1328.0,1248.0,1088.0,1248.0,1088.0
282,1168.0,1408.0,1168.0,1088.0,1408.0,1168.0,1088.0,1248.0,1088.0
283,1168.0,1328.0,1088.0,1168.0,1488.0,1248.0,1088.0,1248.0,1008.0
284,1088.0,1248.0,1088.0,1088.0,1328.0,1168.0,1088.0,1248.0,1168.0
285,1168.0,1408.0,1088.0,1088.0,1408.0,1328.0,1168.0,1248.0,1088.0
286,1088.0,1328.0,1168.0,1168.0,1408.0,1328.0,1168.0,1248.0,1088.0
287,1168.0,1408.0,1168.0,1248.0,1328.0,1248.0,1168.0,1168.0,1168.0
288,1168.0,1488.0,1168.0,1168.0,1328.0,1248.0,1168.0,1088.0,1168.0
289,1168.0,1408.0,1008.0,1328.0,1328.0,1328.0,1088.0,1168.0,1088.0
290,1248.0,1328.0,1088.0,1328.0,1248.0,1328.0,1088.0,1168.0,1168.0
291,1248.0,1488.0,1168.0,1168.0,1328.0,1328.0,1008.0,1328.0,1248.0
292,1328.0,1408.0,1168.0,1168.0,1408.0,1328.0,1088.0,1328.0,1248.0
293,1248.0,1408.0,1088.0,1248.0,1328.0,1408.0,1088.0,1248.0,1088.0
